Timonel,Club,Vela,Barco,Tripulantes,Pais,Categoria
FONSECA Francisco,YCO/YCE,31331,,IRIGOITIA Maite,ARG,
GENEVOIS Ramiro,CMPSF,31288,Diecisiete,GENEVOIS Lucila,ARG,Mixto
ALMARZA Ignacio,YCO,31784,Wilusa,ARIGOS José Manuel,CHI,
YAYA Nico,YCO,28699,Mixto Quente,ARANDA Ariana,ARG,Mixto
ALONSO Martín Pablo,CNO,29887,QUINTIN 2,PATRONI Nicolás,ARG,Master
GARCÍA Nicolás,CNBB,31840,,QUIROGA Adriana,ARG,Mixto
AMATO Augusto,CNO,31752,Quintín III,ALVAREZ Constanza,ARG,Mixto-Master
PESCI Luciano,Yco,31753,Balu,,ARG,Mixto
