Timonel;Tripulantes;Pais;Sexo;Club;Barco;Vela
CANTALUPPI Tomas;;ARG;M;cuba;Veleriño;5181
COLLET Daniel;COLLET Luciano & ALVAREZ Martin & LUQUE Leandro;ARG;M;YCO;Clandestino;5166
LINIETSKY Luis;VDOBINE Arsenti & SOTO Alvaro;ARG;M;YCO;Puro Rock;5658
FEJ CICINELLI Julia;VILCHES Damián & VALENTIN Manuel & ANDREOLI Matías;ARG;F;YCA;Capitán Beto;6020
FERNANDEZ Julián;;ARG;M;CNAs;OKOS;5260
DAGUERRE Pedro Eugenio;;ARG;M;CGLNM;HEROINA;5818
PIAIA Edgardo;COLIMEDAGLIA Kevin & TRUCCO Agustin & GOROSITO Duilio & PARRADO Marcela;ARG;M;YCO;PERRY;5548
MORALEZS Esteban;Silvana & Carolina & Roberto & Facundo;ARG;M;YCO;Timor;5153
BONEO Ana;ANDERSON Juan Patricio & VIOLA Raúl & ANDERSON Lucas & FERNÁNDEZ ALONSO Joaquín;ARG;F;YCA;PLATERO;6055
