Timonel;Pais;Sexo;Club;Categoría;Vela
SAGUIER Agustín;ARG;M;YCA;;213386
VASQUEZ FONTANA Franco;ARG;M;CVB;U17;225086
SPOLIANSKY KETEN Ivan;ARG;M;YCO;;211551
PROPATO Martin;ARG;M;YCO;Grand Master;182314
ALDAYA Gonzalo;ARG;M;YCO;U17;224766
MONTES Oscar;ARG;M;YCO;Legend;17115
KOLTEZ Tici;ARG;M;YCO;;195383
CERRATO Luis;ARG;M;YCO;Grand Master;184290
RICCI Martin;ARG;M;CNZ;Ap Master;223045
PIS Adrian;ARG;M;YCO;Grand Master;228201
DE VALAIS Juan Cruz;ARG;M;CNSI;U17;204849
PANAL Facundo;ARG;M;YCA;;206711
BRANZ Edy;ARG;M;YCO;G G Master;173910
BRUNO Felipe;ARG;M;yco;U17;224783
CAVALLO Santiago;ARG;M;YCA;U17;224572
FALCONE Franco;ARG;M;Cnz;Ap Master;222900
SANTÓRSOLA Matias;ARG;M;CNZ;Ap Master;224770
SANTÓRSOLA Alejandro;ARG;M;CNZ;;164031
LOZANO Edgardo;ARG;M;CVB;Grand Master;202568
FAVERO Justino;ARG;M;CRLP;U19, U17;210806
VILLAR Andrés;ARG;M;CNO;;220260
VIALE Santiago;ARG;M;CVB;U17;224796
RESER Germán;ARG;M;YCO;Master;218095
BURDE Hernan;ARG;M;RRC;Grand Master;226492
FERNANDEZ ALONSO Simón;ARG;M;YCA;;21992
RIVERA Jose Antonio;ARG;M;YCO;Master;224823
MIRABELLI Luis;ARG;M;CNSI;Grand Master;222880
GABAGLIO Agustin;ARG;M;YCA;U17;224778
VODANOVICH Santiago;ARG;M;CUBA;Ap Master;218285
BENEDETTO Julieta;ARG;F;CVB;F, U19;195408
AGNOLETTI Martin;ARG;M;YCA;Grand Master;206076
PINEDO CHIAPPA Lautaro;ARG;M;CRLP;U17;21735
BAZTERRICA Santos;ARG;M;CGLNM;;200517
ROBINSON SILVA Juan;ARG;M;CNSI;U17;7
MOLINARI Josefina;ARG;F;CVB;F, U17;203193
PINOSA PERCOSSI Nicolas;ARG;M;CNO;U17;226497
PINTO Maggie;ARG;F;CNO;F;224785
PINTO Naina Marie;ARG;F;CNO;F;220572
KÜTTEL Delfina;ARG;F;CNSP-CNO;F;1
GONZALEZ VILLALBA Agustin;ARG;M;CVB;;218076
GONZALEZ VILLALBA Felipe;ARG;M;cvb;U17;224767
GIROD Mariano;ARG;M;CUBA;Ap Master;224568
BUSCH Isabel;ARG;F;CNSI;F;200514
AROCENA Felipe;ARG;M;CNSI;;310837
VASSALLO Francisco;ARG;M;CNSE;Ap Master;361
ADEIL PIETRANERA Ezequiel;ARG;M;YCO;Master;184874
SOARES NETTO Guillermo;ARG;M;CPNLB;Grand Master;48
MAY Fran;ARG;M;CPNLB;Ap Master;192117
JORDANA Verónica;ARG;F;Cpnlb;Master, F;200516
FOLGUERA Alejo;ARG;M;CPNLB;;2
DUARTE ARGERICH Joaquin;ARG;M;CUBA;Ap Master;220565
VOGT Lucas;ARG;M;YCR;;210838
ALVAREZ GALLESIO Pedro;ARG;M;Yacht club Argentino;;182710
