Timonel;Pais;Sexo;Club;Categoría;Vela
PASCUAL Agustín;ARG;M;YCO;Ap Master;23
ACOSTA Alejo;ARG;M;YCO;Master;204847
CARDOZO Juan Pablo;ARG;M;YCO;;220573
RIGONI Matias;ARG;M;CUBA;Ap Master;11
FAGNANI Lucas;ARG;M;YCO - YCSI;Ap Master;213216
RIGONI Santiago;ARG;M;CUBA (Medrano);Ap Master;211711
VUGDELIJA Juan;ARG;M;CUBA;Ap Master;223035
ASAD Jose;ARG;M;YCO;G G Master;207306
RIGONI Mariano;ARG;M;CUBA;Ap Master;8
GORIS Manuel;ARG;M;CNZ;;186971
MORENO Diego;ARG;M;YCO;Master;17115
SAUL Mariano;ARG;M;YCO/CNSE;Master;211981
ELÍAS Tomás Bautista;ARG;M;CUBA;U21;205489
BOTTO Javier;ARG;M;CUBA;Grand Master;24
PINTO Pedro Paulo;ARG;M;CNO;;203803
MONES RUIZ Lucas;ARG;M;CNO/Hesketh;;22211
GALVAN Joaquín;ARG;M;YCO;U21;226510
SUAREZ FABBRO Ramiro;ARG;M;CNC;;773
ALBARELLO ARENA Augusto;ARG;M;CUBA;;195321
VIALE Mathias;ARG;M;CNSE;;86
GALVÁN Benjamín;ARG;M;YCO;;217355
BAZERQUE Santiago;ARG;M;YCO;Master;218517
RODRIGUEZ REYNOSO Pedro;ARG;M;CNO;U21;12
WENZEL Felipe;ARG;M;CNO-CRLP;U21;1
DOMANIUK Ivan;ARG;M;Barrancas;Grand Master;222111
