Timonel;Tripulantes;Pais;Sexo;Club;Barco;Proa;Vela
VARNI Juan Ignacio;TOCCALINO Horacio & TOCCALINO Franco;ARG;M;YCO;Que se Yo;;11035
CHAINE Fran;MARTÍNEZ BIGOZZI Juan Pablo & VOLPI César;ARG;M;YCO;Zángano;;15077
BENA Jose Luis;PRIETO Matias & KAZENSTEIN Nicolas;ARG;M;CUBA;Indio Juerte;24;11037
TISCORNIA Fernando Bartolome;TISCORNIA Diego & DOFMAN Ernesto;ARG;M;TFA;Costo cero;;22
CAPPONI Adrián;;ARG;M;YCTF;Tormenta Oscura;;65
CELESTE Florentina;UMILE Nicolas & TISCORNIA Bautista;ARG;F;Club Nautico Pellegrini;Flamingo IV;;14428
DEL CAMPO Nicolás;TISCORNIA Augusto & PIÑERO Mariano;ARG;M;CNSI;Segundo Aire;;15255
MARTÍNEZ Matías;ROJAS Carlos & ROJAS Gabriel & FERNANDEEZ FERRARI Maria Belen;ARG;M;CNTFACS;Gualicho Patagónico;;1336
